neg_content,pos_attr
อยากขอโทษพ่อแม่มากๆ ขอโทษที่ทำให้<mask> ขอโทษที่ทำให้ดีใจเก้อ ขอโทษที่ทำให้<mask> <mask><mask>น้ำมันไปส่งสัมภาษณ์ อยากบอกผู้ใหญ่ทั้งหลายด้วย ว่า<mask>ความรู้สึก เอาอนาคตของเด็กมาล้อเล่นแบบนี้,"['ความน่ารัก', 'ไปพูด', '💛']"
าแดก กับผู้ใหญ่ไม่ได้มาหากับอนาคตของชาติและหรอ,"['แนะนํา', 'ชื่นชอบ', 'hondacrvเพราะ', 'และความนุ่มนวล', 'มากครับ', 'ประทับใจ', 'สะดวกสบาย', 'ติดใจ']"
หลายคนต้องมา<mask><mask>ของคนกลุ่มเดียว,"['แนะนํา', 'wo', 'ชอบ', 'ติดใจ', 'มากๆๆ', 'มันต้องมี', 'จัดไป', 'เลยค่าการ', 'ไปลอง', 'เพื่อนบอกว่าหรู', 'เลิศ', 'อร่อย', 'มากค่ะ']"
หมา<mask>มากเถอะ เลือกคณะก่อนรู้คะแนน สอบได้ครั้งเดียวไม่มีโอกาสแก้ตัว ระยะเวลาแต่ละรอบก็นานเกิ้นน จนตอนนี้เด็กเขาจะเปิดเทอม<mask>ล่ะ จนตอนนี้ยังไม่มีที่เรียน บางครั้งก็ยังลังเลกับตัวเอง งง สับสนไป<mask>ล่ะ ว่าตัวเองชอบอะไรกันแน่ เพราะมันต้องสมัครใหม่แต่ละรอบ แล้วแต่ละวันไม่กล้าออกบ้านล่ะ ต้องมาเจอกับคำถามที่ว่า มีที่เรียนยัง สอบติดยัง จะติดตอนไหน บลาๆ <mask>มาตอบซ้ำๆเรื่องเดิมๆ จนสภาพจิตใจ<mask>ไป<mask> ก็เริ่มสับสนระหว่างจะเรียนต่อกับทำงานเลยดีไหม ? มีแต่เรื่อง<mask>ๆ เฮ้อออ ต้องใช้อีกกี่น้ำตาให้เธอเห็นใจ 😭,"['ชื่นชอบ', 'ชอบ', 'ประทับใจ', 'ได้ด้วย', 'คุ้ม', 'ชอบมาก', 'เป็นกันเอง']"
มัครครั้งไหนบ้างที่เว็บจะไม่มีปัญหา 😡😡,"['ความอร่อยใน', 'อร่อย', 'ที่ชอบ', 'ฟิน']"
สถานการ์ณแบบนี้ ใช้คำว่าระบบการศึกษาต่อได้อีกหรอ ล้มเลิกไปเถอะ <mask> ฮือ,"['ประทับใจ', 'จะได้ไป', 'ตื่นเต้น', 'พาไป', 'ตื่นตาตื่นใจ', 'ไปหมดแค่', 'ไปกินบาบี', 'ชอบ', 'ร้อนๆๆแตก', 'เย็นสบาย', '😋', 'อร่อยมาก', 'ผ้านุ่มมาก', 'ดีใจ', 'มากกก', 'สู้จะอธิบาย', 'เลยอยากมาอีก', 'รู้สึกดี', 'บ้านทุกครั้งที่ได้', 'อบอุ่น', '❤']"
<mask>เหมือนเดิมประเทศไทย เพิ่มเติมคือกว่าเดิม พัฒนายังไงให้<mask>กว่าเดิม งงค่ะ!,"['พรุ่งนี้', 'ดีใจมาก', 'ตื่นเต้น']"
<mask>กับชีวิตมากอะ 😭,"['กําลังใจ', '✨', 'อยากไป', 'ชอบ', 'น่ารัก', 'หล่อ', 'มากๆๆ', 'ดีใจมาก', '💕']"
รู้มั้ย กูอยากเห็นอะไร อยากเห็นผู้ใหญ่ในทปอ.ก้มหัวแสดงความรับผิดชอบต่อหน้าสื่อ มึงงามหน้าขนาดนี้พูดลอยๆมาแค่ขอโทษเบาๆแล้วเปลี่ยนเรื่อง ที่ญป แค่ไอติมเขาจะปรับขึ้นราคามาเยนนึงผู้บริหารทั้งบอร์ดยังมาก้มหัวหน้าตึก<mask> นี่กับเด็กม.6 เป็นแสน <mask>รับผิดชอบหน่อยหรอ,"['ขอขอบคุณ', 'ขอบคุณมาก', 'ฝากชื่นชม', 'ขอบคุณ', 'ป๊าไป', 'ประทับใจ', 'ยิ้มได้ตลอดเวลาเลยค่ะ']"
มึงเมื่อไหร่เราจะได้นายกคนใหม่ ทนเห็น<mask>แบบนี้โคตรทำรายจิตใจกับความ<mask>ของ<mask>เลย<mask>มาก,"['แนะนํา', 'wo', 'ชอบ', 'ติดใจ', 'มากๆๆ', 'มันต้องมี', 'จัดไป', 'เลยค่าการ', 'ไปลอง', 'เพื่อนบอกว่าหรู', 'เลิศ', 'อร่อย', 'มากค่ะ']"
มีใครโดนบังคับให้เรียนอันที่เรา<mask>บ้าง เรา<mask> ยิ่งถ้ารอบนี้เราไม่ติดคณะที่เราเลือกเราต้องได้ไปเรียนอันที่ครอบครัวอยากให้เรียนอ่ะ😭,"['ขอบคุณนะ', 'ขอบคุณ', 'พวกนางจากใจ', 'าเราไป', 'สู้อีกเยอะแยะ']"
มีชื่อสัมคณะที่ชอบแล้ววว แต่ม.ที่ติด<mask>บ้านมากเลยกลัวแม่ไม่ให้ไป 😭,"['ประทับใจ', 'จะได้ไป', 'ตื่นเต้น', 'พาไป', 'ตื่นตาตื่นใจ', 'ไปหมดแค่', 'ไปกินบาบี', 'ชอบ', 'ร้อนๆๆแตก', 'เย็นสบาย', '😋', 'อร่อยมาก', 'ผ้านุ่มมาก', 'ดีใจ', 'มากกก', 'สู้จะอธิบาย', 'เลยอยากมาอีก', 'รู้สึกดี', 'บ้านทุกครั้งที่ได้', 'อบอุ่น', '❤']"
ประสาทแดกหมดแล้ว ถามกันอยู่ได้เรียนไหน #<mask>หหห ยังไม่มีที่เรียนเว้ยยย #ขี้<mask>,"['ได้ยาวนานจากแสงแดด', 'ไม่เป็นคราบไม่', 'มันสบายผิว', 'สู้แดด', 'สวย', 'มากค่ะ', 'ที่สุดใน']"
ระกาศเร็วกว่านี้หน่อยไม่ได้หรอ เด็กฟุ้งซ่านไปหมดแล้วโว้ย,"['ต้องไป', 'จัด']"
บอกเลยว่า <mask>มาก =..= รู้สึก<mask>มากตอนคะแนนออก รู้สึก<mask>มากด้วย สอบก็มีรอบเดียว คะแนนก็กลัวจะยื่นที่ไหนไม่ได่เพราะไม่รู้เกณฑ์คะแนนใหม่ คือเครียดมาหลายเดือนมาก ลดรอบการวิ่งสอบก็จริงแต่กูเครียดหนักกว่าเดิมมมมม,"['สู้ทําไม', 'ไปตํา', 'วตื่นเต้น', 'ชอบมาก', 'สะอาด', 'มากกก', 'ชอบ', 'ไปลอง', 'แต่งหน้าติดดีเลย', 'ดีมาก', 'ใช้ง่าย']"
้องข้างบ้านบอกต้องรีบไปรีดผ้าพรุ่งนี้ไปโรงเรียน เอิ่ม -_- ตัดภาพมาที่กู นี่กูต้องใช้ชีวิตแบบเหมือนวิณญาณเรร่อนขนาดนี้เลย สงสารตัวเอง 😂😂😂,"['ต้องรุ่นนี้', 'มันเป็นรถที่เสน่ห์', 'มากๆๆ', 'ใกล้แล้วๆๆปล', 'ไปให้ถึง']"
<mask>นะ นอนยุบ้านเฉยๆเนี่ย นอนรอที่เรียน นอนรอมหาลัยเปิด นอนรอไรก็ไม่รู้ ไม่รู้ว่าจะติดไม่ติดด้วยซ้ำ ได้แต่รออ่ะ งานก็ไม่มีทำ เงินก็ไม่มีเที่ยว ไปไหนก็ไม่ได้ 😭😭😭😭,['ดี๊ดี']
นี่คือรำคาญครูเเนะเเนวที่รร.มากเร่งเร้าจะเอารายชื่อมหาลัยอยู่ได้ คือมันสำคัญมากเลยหรอ บ้าบอออ มาเป็นกูดูมั้ย กดดัน<mask>,"['สุดยอด', 'คือความiconic', 'สวย', 'ซึ้ง', 'ดีจริง', 'เราจะไป']"
<mask>จนบางทีก็นั่งๆอยู่ก็คิดว่า <mask>เรียนแล้วอ่ะ,['ดี๊ดี']
ทั้งๆที่<mask>โอเคกับรอบ3 แต่ก็<mask>สมัครเพราะอยากมีที่เนียนแล้ว... เออ กูเอง😭 เพราะความอยากมีที่เรียนของกูอ่ะ กูเลย<mask>ไปสมัครรอบ4 แต่ก็<mask>บ่นให้รอบ3 กู กูเอ๊งงงง!!!!!,"['ชื่นชอบ', 'ชอบ', 'ประทับใจ', 'ได้ด้วย', 'คุ้ม', 'ชอบมาก', 'เป็นกันเอง']"
ตอนนี้รอประกาศผลจนฟุ่งซานล่ะ <mask>จะทำไรด้วย <mask>ภาวนาให้แต่ถึงวันที่ 29 เร็วๆ <mask>โครต<mask>เลย,"['ชอบ', 'เค้าจะเนื้อเบา', 'ติดทน', 'เราจะเป็นคราบ', 'กันเหงื่อด้วยแถมยัง', 'ชุ่มชื่น', '❤']"
ตอนนี้คือเครียดเรื่องสัมภาษณ์ คือถ้าผ่าน ก็ดีไป แต่ถ้า<mask>นี่ดิ จะทำไงวะ ไหนจะวางแผนเรื่องอันดับ แล้วถ้าเข้าไปสมัครละเว็บ<mask> เห้ออ เครียด ทำไมเด็ก61มันเครียดขนาดนี้ ระบบ<mask>นี่แหละทำให้กูลุกไปไหนไม่ได้ ลุ้นตลอดเวลา <mask>ยย!!!!,"['ชอบ', 'เค้าจะเนื้อเบา', 'ติดทน', 'เราจะเป็นคราบ', 'กันเหงื่อด้วยแถมยัง', 'ชุ่มชื่น', '❤']"
จริงๆนะ คือไม่มีใครเข้าใจ #dek61 เท่าพวกเรากันเองแล้วอะ อยากนัดทุกคนไปยื่นกอดคอร้องไห้55555555 <mask>หนักจริง ว่าจะไม่เครียดแต่<mask>ก็อดไม่ได้,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
จนตอนนี้หนูยังพยายามเข้าเว็บอยู่ <mask>เก่ง<mask>,"['สุดกําลัง', 'น่ารักมาก', 'ไปpost', 'ส่วนหลังเร็วขึ้นเยอะมาก']"
<mask>ความรู้สึก<mask>โครต<mask>อ่า ต้องคอยตอบคำถามคนนั้นคนนี้โน่นนั่นนี่ โอ้ยยยยยย ละที่สำคัญละ เครียดจน<mask>กกกไมเกรน!!! คือ<mask>ตังเยอะมากอ่ากับคำว่าสมัครนั่นนี่ บางที่นะ<mask>บอกรอบ<mask>ตๆ<mask><mask>ตดูเกรด!!! เกรดน้อยก้อ<mask>ไป <mask><mask>อ่า <mask>มากเลยยย บางคนก็รอจนรากจะออกก้น <mask>คิดมากไง กูจะมีที่เรียนป่าววะ กูอยากเรียนอัน<mask>หวะ งั้นงี้ สารพัด<mask> จนตอนนี้กูก็ยังไม่มีที่เรียน ไม่มีโอกาสแก้ตัว พลาดคือพลาด กูยากที่จะอธิบาย #เหนื่อย<mask>,"['สุดยอด', 'คือความiconic', 'สวย', 'ซึ้ง', 'ดีจริง', 'เราจะไป']"
ือเมื่อคืนฝันดีมาก ฝันว่าได้ใส่ชุดนิสิต ละมีอวดคนอื่นอ่ะ รู้เลยว่าตอนนี้ตัวเองเครียดและหวังไว้สูงมาก,"['ชอบ', 'จัดไป', 'จะรอ', 'ชีสคือเข้มมาก', 'ไม่เลี่ยน', 'อร่อยมาก', 'เลิฟ']"
ความ<mask>แตกของระบบในปีนี้ไม่ใช่แค่ระบบรวน เว็บ<mask> เด็ก<mask> แต่การที่ระบบ<mask>แบบนี้จะส่งผลให้เด็กในปีนี้หลายพันคนยอมจะทิ้งความฝันตัวเองเพื่อแลกกับความสบายใจว่ามีที่เรียน และมันจะส่งผลเป็นโดมิโน่ไปถึงรุ่นต่อๆไปอีก พิจารณาตัวเองได้แล้วนะทปอ.,"['ประทับใจ', 'จะได้ไป', 'ตื่นเต้น', 'พาไป', 'ตื่นตาตื่นใจ', 'ไปหมดแค่', 'ไปกินบาบี', 'ชอบ', 'ร้อนๆๆแตก', 'เย็นสบาย', '😋', 'อร่อยมาก', 'ผ้านุ่มมาก', 'ดีใจ', 'มากกก', 'สู้จะอธิบาย', 'เลยอยากมาอีก', 'รู้สึกดี', 'บ้านทุกครั้งที่ได้', 'อบอุ่น', '❤']"
ำไม่ออกแต่อยากขำและนอนน้ำตาร่วงอยู่,"['เราจะเป็นเดียวที่นั่ง', 'กดหัวใจให้ความ', 'ชอบ', 'และรสชาติหวาน', 'สนุก']"
ารเลือกมหาวิทยาลัยว่ายากแล้ว คณะที่จะเลือกให้มันพอดีกับคะแนนเรานั้นยากยิ่งกว่า 😭😂,"['แนะนํา', 'เธอชอบ', 'ลดการสะสมแบคทีเรีย', 'ที่เรารัก', 'wo', 'good']"
Dek61รุ่นนี้<mask>เห็นๆอ่ะ กว่าจะติดก็ครึ่งค่อนปี จะซิ่วก็ไม่ได้อีก เพราะ เตรียมตัว<mask> มีใครใหัมากกว่านี้อีกมั้ยคะ,"['🎉', 'ทั้งถูกทั้งดี', 'ไม่เกิดสิว']"
แค่คณะนี้เอง ทำไมล่ะ ทำไม แค่นี้ของคุณ มัน<mask>เป็นสุดยอดของเราเว้ย อย่ามา<mask>ความชอบของคนอื่นสิ ชอบยุ่งจัง พวกไม่ได้ช่วยจ่ายค่าเทอมสักบาทเนี่ย,"['แถมสีสวย', 'มากๆๆ', 'รักนาง', 'กระจกใหญ่และชัด', 'ที่สุด', 'เลิฟ', '❤']"
<mask> ชอบหลอกให้สั่งซื้อ <mask>สิ้นค้า,"['คุณชื่นชอบ', 'สะอาด', 'หมดจดไม่เหลือคราบ', 'ไม่แห้งตึง', 'ใช้แล้วไม่แพ้', 'ไม่เป็นสิว']"
สินค้า<mask>,"['คุณภาพ', 'คุ้มค่า']"
สินค้า<mask>ทำไมไม่แจ้งขึ้นว่า<mask>อะ.กดใส่ตะกร้าไปเถอะ.<mask>เรย,"['มา', 'ส่งของไวมาก', 'วันไหนจะ', 'ราคาถูก', 'คุ้ม', 'ไม่ผิดหวัง']"
<mask>ทำแบบนี้กับใครอีกนะค่ะ<mask>ค่ะ,"['ขอบคุณนะ', 'ขอบคุณ', 'พวกนางจากใจ', 'าเราไป', 'สู้อีกเยอะแยะ']"
คือเเบบ<mask> <mask>ได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียว<mask>จบเเยก😢,"['สุดยอด', 'คือความiconic', 'สวย', 'ซึ้ง', 'ดีจริง', 'เราจะไป']"
<mask>จัง รอนานมาก <mask>ก้อไม่ได้,"['ได้เร็วมาก', 'ใช้ได้ดี', 'คุ้ม']"
<mask>กกกกกค่ะ เอาของ<mask>มาให้ฉุนมาดค่ะ<mask>เป็นอย่างมากค่ะ. ส่งของ <mask>. <mask>จะเคลียร์,"['ของเร็วมาก', 'ต้องการ', 'สวยมาก']"
ไม่แนะนำซื้อมาใช้ได้วันเดียว<mask>แล้ว,"['คนนึงที่เห็นกับการ', 'ตอนนี้ผมเลิกบุหรี่', 'ตอนนี้บอกได้เลยว่า', 'ขึ้นหายใจไม่ติดขัด']"
<mask>สั่งสินค้าไป<mask>สักที<mask>รอคอย,"['wo', 'ชื่นชอบ', 'หอมหวาน', 'พีชสดรสชาติ', 'กลมกล่อม', 'ดื่มง่าย', 'ความรู้สึกผ่อนคลาย', 'ความสดชื่น', 'ไปลิ้นทองความสนใจ', '💗']"
<mask>ความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว <mask>,"['ชอบ', 'จัดไป', 'จะรอ', 'ชีสคือเข้มมาก', 'ไม่เลี่ยน', 'อร่อยมาก', 'เลิฟ']"
ใช้เดือนเดียว<mask><mask>มากๆ,"['อร่อยมาก', 'ต้องลอง']"
<mask>ความรู้สึกมากกระเป๋าบางมาก<mask>กะแบบสินค้าที่ลงการแพ็คของส่งก็<mask>เอาถุงดำที่ใส่<mask>แถม<mask>มากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆ<mask>ด่วน!!!!,"['ประทับใจ', 'จะได้ไป', 'ตื่นเต้น', 'พาไป', 'ตื่นตาตื่นใจ', 'ไปหมดแค่', 'ไปกินบาบี', 'ชอบ', 'ร้อนๆๆแตก', 'เย็นสบาย', '😋', 'อร่อยมาก', 'ผ้านุ่มมาก', 'ดีใจ', 'มากกก', 'สู้จะอธิบาย', 'เลยอยากมาอีก', 'รู้สึกดี', 'บ้านทุกครั้งที่ได้', 'อบอุ่น', '❤']"
การส่งของ<mask> ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุค<mask>จะทำยังไง,['กลิ่นอายชื้นตอบโจทย์']
ใช้ในรถระบบ<mask> <mask>ใช้ต่อไม่ได้,['ดีมากค่ะ']
<mask> ลบไม่ออก,['ไม่เปลี่ยนครับมั่นใจ']
<mask>อายุแล้ว<mask>เอามาลงขายค่ะ<mask><mask>มากๆค่ะกว่าจะ<mask><mask>ด้วยนะ,"['ส่งไวมาก', 'ดีมาก', 'ใช้งานได้ปกติไม่มีปัญหา', 'คุ้มค่า', 'สุดๆ']"
ส่ง<mask> <mask>,"['ได้เร็วมาก', 'ใช้ได้ดี', 'คุ้ม']"
ได้รับของแล้ว<mask> <mask>เลยค่ะ,"['ได้หลายอย่างเลยค่ะ', 'ของเร็วมาก', 'ชอบมาก']"
