source,target
<ATTRS> อร่อย <CONT_START> ลองแล้ววยนเมิง <START>,<ATTRS> อร่อย <CONT_START> ลองแล้ววยนเมิง <START> ลองแล้ววอร่อยยนเมิง
<ATTRS> น่า อ่าน <CONT_START> เล่มนี้มากเลย <START>,<ATTRS> น่า อ่าน <CONT_START> เล่มนี้มากเลย <START> เล่มนี้น่าอ่านมากเลย
<ATTRS> ไปกิน บ า บี <CONT_START> วันสุขก้อนใน <START>,<ATTRS> ไปกิน บ า บี <CONT_START> วันสุขก้อนใน <START> วันสุขไปกินบาบีก้อนใน
<ATTRS> ▁ว้าวสวย <CONT_START> ภาพใน <START>,<ATTRS> ▁ว้าวสวย <CONT_START> ภาพใน <START> ว้าวภาพสวยใน
<ATTRS> จัด <CONT_START> ศุกร์นี้ไหมที่รัก <START>,<ATTRS> จัด <CONT_START> ศุกร์นี้ไหมที่รัก <START> ศุกร์นี้จัดไหมที่รัก
<ATTRS> สู้ๆๆผ่าน คับ <CONT_START> คับให้ <START>,<ATTRS> สู้ๆๆผ่าน คับ <CONT_START> คับให้ <START> สู้ๆๆคับให้ผ่านคับ
<ATTRS> ▁ สู้👍 <CONT_START> คัฟพี่ <START>,<ATTRS> ▁ สู้👍 <CONT_START> คัฟพี่ <START> สู้คัฟพี่👍
<ATTRS> ๆ กรุบ กรอบมากๆๆ <CONT_START> เส้นใสๆ <START>,<ATTRS> ๆ กรุบ กรอบมากๆๆ <CONT_START> เส้นใสๆ <START> เส้นใสๆๆกรุบกรอบมากๆๆ
<ATTRS> ดี๊ดี <CONT_START> หนูนกชีวิตค่ะ <START>,<ATTRS> ดี๊ดี <CONT_START> หนูนกชีวิตค่ะ <START> หนูนกชีวิตดี๊ดีค่ะ
<ATTRS> ▁อยากกิน <CONT_START> จังเลยเมียจ๋า <START>,<ATTRS> ▁อยากกิน <CONT_START> จังเลยเมียจ๋า <START> อยากกินจังเลยเมียจ๋า
<ATTRS> ▁อยากกิน <CONT_START> บาบิคิวพลาซ่า <START>,<ATTRS> ▁อยากกิน <CONT_START> บาบิคิวพลาซ่า <START> อยากกินบาบิคิวพลาซ่า
<ATTRS> ▁อยากกิน <CONT_START> หมึกกระดอง🤤 <START>,<ATTRS> ▁อยากกิน <CONT_START> หมึกกระดอง🤤 <START> อยากกินหมึกกระดอง🤤
<ATTRS> ▁อยากกิน <CONT_START> อ่ะหมู😣 <START>,<ATTRS> ▁อยากกิน <CONT_START> อ่ะหมู😣 <START> อยากกินอ่ะหมู😣
<ATTRS> ▁อยากกิน <CONT_START> เอมเค <START>,<ATTRS> ▁อยากกิน <CONT_START> เอมเค <START> อยากกินเอมเค
<ATTRS> ▁ อร่อย😋 <CONT_START> จนติดจมูก5 <START>,<ATTRS> ▁ อร่อย😋 <CONT_START> จนติดจมูก5 <START> อร่อยจนติดจมูก5😋
<ATTRS> อร่อยมากต้องลอง <CONT_START> จิงๆๆ <START>,<ATTRS> อร่อยมากต้องลอง <CONT_START> จิงๆๆ <START> อร่อยมากจิงๆๆต้องลอง
<ATTRS> ไปกิน หน่อย <CONT_START> อ้วนพาเค้า <START>,<ATTRS> ไปกิน หน่อย <CONT_START> อ้วนพาเค้า <START> อ้วนพาเค้าไปกินหน่อย
<ATTRS> ขอบคุณครับ ใน <CONT_START> อ่อครับ <START>,<ATTRS> ขอบคุณครับ ใน <CONT_START> อ่อครับ <START> อ่อครับขอบคุณครับใน
<ATTRS> เอาใจช่วย💖 <CONT_START> นะครับ <START>,<ATTRS> เอาใจช่วย💖 <CONT_START> นะครับ <START> เอาใจช่วยนะครับ💖
<ATTRS> ▁โอ๊ย อยาก <CONT_START> ไปหมด <START>,<ATTRS> ▁โอ๊ย อยาก <CONT_START> ไปหมด <START> โอ๊ยอยากไปหมด
<ATTRS>  <CONT_START> กินไฮเนเก้นเลยกุ😂 <START>,<ATTRS>  <CONT_START> กินไฮเนเก้นเลยกุ😂 <START> กินไฮเนเก้นเลยกุ😂
<ATTRS> ▁ขอบคุณมากค่ะ❤ <CONT_START> แสงสี <START>,<ATTRS> ▁ขอบคุณมากค่ะ❤ <CONT_START> แสงสี <START> ขอบคุณแสงสีมากค่ะ❤
<ATTRS> อยากกิน <CONT_START> เค้าบาบีก้อนนน <START>,<ATTRS> อยากกิน <CONT_START> เค้าบาบีก้อนนน <START> เค้าอยากกินบาบีก้อนนน
<ATTRS> รัก ตาย เลย <CONT_START> ใครให้วันนี้ <START>,<ATTRS> รัก ตาย เลย <CONT_START> ใครให้วันนี้ <START> ใครให้วันนี้รักตายเลย
<ATTRS> ▁ จะกิน <CONT_START> แต่เอ็มเช้า5 <START>,<ATTRS> ▁ จะกิน <CONT_START> แต่เอ็มเช้า5 <START> จะกินแต่เอ็มเช้า5
<ATTRS> ฟิน <CONT_START> จิบเพียงทีละนิดคง <START>,<ATTRS> ฟิน <CONT_START> จิบเพียงทีละนิดคง <START> จิบเพียงทีละนิดคงฟิน
<ATTRS> ▁ชอบ <CONT_START> ชีวาสีฟัดเด็กอนฮ. <START>,<ATTRS> ▁ชอบ <CONT_START> ชีวาสีฟัดเด็กอนฮ. <START> ชอบชีวาสีฟัดเด็กอนฮ.
<ATTRS> ▁ชอบ <CONT_START> แดกลีโอหรือเปล่า <START>,<ATTRS> ▁ชอบ <CONT_START> แดกลีโอหรือเปล่า <START> ชอบแดกลีโอหรือเปล่า
<ATTRS> ชอบมาก <CONT_START> 555ประหยัดตัง <START>,<ATTRS> ชอบมาก <CONT_START> 555ประหยัดตัง <START> ชอบมาก555ประหยัดตัง
<ATTRS> แล้ว น่ากิน <CONT_START> ดูทรงลีโอ <START>,<ATTRS> แล้ว น่ากิน <CONT_START> ดูทรงลีโอ <START> ดูทรงแล้วน่ากินลีโอ
<ATTRS> จะพาไป <CONT_START> เดี๋ยวกินฮอตพอตน <START>,<ATTRS> จะพาไป <CONT_START> เดี๋ยวกินฮอตพอตน <START> เดี๋ยวจะพาไปกินฮอตพอตน
<ATTRS> ▁ต้อง ใ ป <CONT_START> โดนหน่อยแล้วมึง <START>,<ATTRS> ▁ต้อง ใ ป <CONT_START> โดนหน่อยแล้วมึง <START> ต้องใปโดนหน่อยแล้วมึง
<ATTRS> ไปกิน รอ <CONT_START> ต้องบัตรตั๊วนิ <START>,<ATTRS> ไปกิน รอ <CONT_START> ต้องบัตรตั๊วนิ <START> ต้องไปกินรอบัตรตั๊วนิ
<ATTRS> ต้องลอง <CONT_START> ให้ได้😃 <START>,<ATTRS> ต้องลอง <CONT_START> ให้ได้😃 <START> ต้องลองให้ได้😃
<ATTRS> ▁ ทาน เอ็ม เค <CONT_START> เกือบทุกหน <START>,<ATTRS> ▁ ทาน เอ็ม เค <CONT_START> เกือบทุกหน <START> ทานเอ็มเคเกือบทุกหน
<ATTRS> ที่พัก ราคาถูก <CONT_START> ใกล้ห้าง <START>,<ATTRS> ที่พัก ราคาถูก <CONT_START> ใกล้ห้าง <START> ที่พักราคาถูกใกล้ห้าง
<ATTRS> น่ารักมากๆ <CONT_START> ๆเลยค่ะใน <START>,<ATTRS> น่ารักมากๆ <CONT_START> ๆเลยค่ะใน <START> น่ารักมากๆๆเลยค่ะใน
<ATTRS> สุดยอด <CONT_START> นาวาร่าจิงๆๆคับ <START>,<ATTRS> สุดยอด <CONT_START> นาวาร่าจิงๆๆคับ <START> นาวาร่าสุดยอดจิงๆๆคับ
<ATTRS> อยากกิน <CONT_START> นี้ไงที่เธอ555 <START>,<ATTRS> อยากกิน <CONT_START> นี้ไงที่เธอ555 <START> นี้ไงที่เธออยากกิน555
<ATTRS> ปะ ๆๆ <CONT_START> บาบีก้อนก็ได้555 <START>,<ATTRS> ปะ ๆๆ <CONT_START> บาบีก้อนก็ได้555 <START> บาบีก้อนก็ได้ปะๆๆ555
<ATTRS> ▁ ป้ะไปกัน <CONT_START> น้า <START>,<ATTRS> ▁ ป้ะไปกัน <CONT_START> น้า <START> ป้ะไปกันน้า
<ATTRS> ▁ ไป <CONT_START> ๊รอบิ๊กมากรุงเทพ <START>,<ATTRS> ▁ ไป <CONT_START> ๊รอบิ๊กมากรุงเทพ <START> ไป๊รอบิ๊กมากรุงเทพ
<ATTRS> ไปกัน <CONT_START> บาบิก้อนใน5 <START>,<ATTRS> ไปกัน <CONT_START> บาบิก้อนใน5 <START> ไปกันบาบิก้อนใน5
<ATTRS> ▁ ไปกิน <CONT_START> เล่นเพื่อนโหน่อย <START>,<ATTRS> ▁ ไปกิน <CONT_START> เล่นเพื่อนโหน่อย <START> ไปกินเล่นเพื่อนโหน่อย
"<ATTRS> ไปกิน สัก <CONT_START> 27,28.กะได้ <START>","<ATTRS> ไปกิน สัก <CONT_START> 27,28.กะได้ <START> ไปกินสัก27,28.กะได้"
<ATTRS> ▁ ไป <CONT_START> สิค่า5 <START>,<ATTRS> ▁ ไป <CONT_START> สิค่า5 <START> ไปสิค่า5
<ATTRS> ▁ พร้อมม่ะ <CONT_START> มากตอนนี้เลย <START>,<ATTRS> ▁ พร้อมม่ะ <CONT_START> มากตอนนี้เลย <START> พร้อมมากตอนนี้เลยม่ะ
<ATTRS>  <CONT_START> มีความต้งการบาร์บีกิน <START>,<ATTRS>  <CONT_START> มีความต้งการบาร์บีกิน <START> มีความต้งการบาร์บีกิน
<ATTRS>  <CONT_START> ยอดทั้งแชมีและโตโยต้า <START>,<ATTRS>  <CONT_START> ยอดทั้งแชมีและโตโยต้า <START> ยอดทั้งแชมีและโตโยต้า
<ATTRS> ไปกิน บ า บี <CONT_START> เรากอในกันไหม <START>,<ATTRS> ไปกิน บ า บี <CONT_START> เรากอในกันไหม <START> เราไปกินบาบีกอในกันไหม
<ATTRS> ▁ สนใจ <CONT_START> ค่ามาริเอทีไฟ <START>,<ATTRS> ▁ สนใจ <CONT_START> ค่ามาริเอทีไฟ <START> สนใจค่ามาริเอทีไฟ
<ATTRS> สู้ๆๆ <CONT_START> น้ะค้ะ😻 <START>,<ATTRS> สู้ๆๆ <CONT_START> น้ะค้ะ😻 <START> สู้ๆๆน้ะค้ะ😻
<ATTRS> ▁อยากกิน <CONT_START> 285จัง👈 <START>,<ATTRS> ▁อยากกิน <CONT_START> 285จัง👈 <START> อยากกิน285จัง👈
<ATTRS> น้ําลาย ไหล▁อยากกิน <CONT_START> ช้างน้ำลายไหล <START>,<ATTRS> น้ําลาย ไหล▁อยากกิน <CONT_START> ช้างน้ำลายไหล <START> อยากกินช้างน้ำลายไหล
<ATTRS> ▁อยากกิน <CONT_START> นะแต่กลัว5 <START>,<ATTRS> ▁อยากกิน <CONT_START> นะแต่กลัว5 <START> อยากกินนะแต่กลัว5
<ATTRS> ▁อยากกิน <CONT_START> บะหมี่หยกต้มยำ <START>,<ATTRS> ▁อยากกิน <CONT_START> บะหมี่หยกต้มยำ <START> อยากกินบะหมี่หยกต้มยำ
<ATTRS> ▁อยากกิน <CONT_START> บาบีก้อนงะ🤣😅 <START>,<ATTRS> ▁อยากกิน <CONT_START> บาบีก้อนงะ🤣😅 <START> อยากกินบาบีก้อนงะ🤣😅
<ATTRS> ▁อยากกินหิว เลยยย <CONT_START> สุกี้ <START>,<ATTRS> ▁อยากกินหิว เลยยย <CONT_START> สุกี้ <START> อยากกินสุกี้หิวเลยยย
<ATTRS> ▁อยากกิน <CONT_START> เหมือนกับค่ะ😀 <START>,<ATTRS> ▁อยากกิน <CONT_START> เหมือนกับค่ะ😀 <START> อยากกินเหมือนกับค่ะ😀
<ATTRS> ▁อยาก <CONT_START> จังเลยเจ้าขะอิสิ <START>,<ATTRS> ▁อยาก <CONT_START> จังเลยเจ้าขะอิสิ <START> อยากจังเลยเจ้าขะอิสิ
<ATTRS> กุ้ง สด จังเลย <CONT_START> อยากให้มี <START>,<ATTRS> กุ้ง สด จังเลย <CONT_START> อยากให้มี <START> อยากให้มีกุ้งสดจังเลย
<ATTRS> ▁ อร่อย <CONT_START> ทุกอย่างเลยเชียว <START>,<ATTRS> ▁ อร่อย <CONT_START> ทุกอย่างเลยเชียว <START> อร่อยทุกอย่างเลยเชียว
<ATTRS> ถูก เว่อร์ <CONT_START> คองคอร์ดผ่อน <START>,<ATTRS> ถูก เว่อร์ <CONT_START> คองคอร์ดผ่อน <START> คองคอร์ดผ่อนถูกเว่อร์
<ATTRS> อยาก 😏😩 <CONT_START> โอ๊ยน. <START>,<ATTRS> อยาก 😏😩 <CONT_START> โอ๊ยน. <START> โอ๊ยน.อยาก😏😩
<ATTRS> 😍อยากกิน <CONT_START> น้ำสิงห์ <START>,<ATTRS> 😍อยากกิน <CONT_START> น้ำสิงห์ <START> 😍อยากกินน้ำสิงห์
<ATTRS> วันนี้ เลย ดี <CONT_START> 5มะ😂 <START>,<ATTRS> วันนี้ เลย ดี <CONT_START> 5มะ😂 <START> 5วันนี้เลยดีมะ😂
<ATTRS> love😍 <CONT_START> ในpajerosport <START>,<ATTRS> love😍 <CONT_START> ในpajerosport <START> loveในpajerosport😍
<ATTRS> พาไปจัด <CONT_START> กลับเดี๋ยว😉 <START>,<ATTRS> พาไปจัด <CONT_START> กลับเดี๋ยว😉 <START> กลับเดี๋ยวพาไปจัด😉
<ATTRS> กิน เอม เค 5 <CONT_START> ก่อน <START>,<ATTRS> กิน เอม เค 5 <CONT_START> ก่อน <START> ก่อนกินเอมเค5
<ATTRS>  <CONT_START> กุกลับ25ทันอยู่ๆๆไปป่าว <START>,<ATTRS>  <CONT_START> กุกลับ25ทันอยู่ๆๆไปป่าว <START> กุกลับ25ทันอยู่ๆๆไปป่าว
<ATTRS> ๆๆ ปิ้งย่างหอม ดี <CONT_START> แกนะๆๆ <START>,<ATTRS> ๆๆ ปิ้งย่างหอม ดี <CONT_START> แกนะๆๆ <START> แกๆๆปิ้งย่างนะๆๆหอมดี
<ATTRS> ▁ขอบคุณ <CONT_START> ของรางวัลมากมะคะ <START>,<ATTRS> ▁ขอบคุณ <CONT_START> ของรางวัลมากมะคะ <START> ขอบคุณของรางวัลมากมะคะ
<ATTRS> ▁ขอบคุณ <CONT_START> น่ะออเจ้า5ใน <START>,<ATTRS> ▁ขอบคุณ <CONT_START> น่ะออเจ้า5ใน <START> ขอบคุณน่ะออเจ้า5ใน
<ATTRS> ▁ขอบคุณมากๆๆ เลยค่า <CONT_START> มาใน <START>,<ATTRS> ▁ขอบคุณมากๆๆ เลยค่า <CONT_START> มาใน <START> ขอบคุณมากๆๆเลยค่ามาใน
<ATTRS> ▁ขอบคุณมาก <CONT_START> ๆๆเลยมะคะใน <START>,<ATTRS> ▁ขอบคุณมาก <CONT_START> ๆๆเลยมะคะใน <START> ขอบคุณมากๆๆเลยมะคะใน
<ATTRS> อยากกิน <CONT_START> เค้านี้มากเลยยย <START>,<ATTRS> อยากกิน <CONT_START> เค้านี้มากเลยยย <START> เค้าอยากกินนี้มากเลยยย
<ATTRS> ▁ จะกิน <CONT_START> ได้เนมะพร้าวด้วย <START>,<ATTRS> ▁ จะกิน <CONT_START> ได้เนมะพร้าวด้วย <START> จะกินได้เนมะพร้าวด้วย
<ATTRS> ▁ จัดๆๆ มะ <CONT_START> วานไปมาแล้ว <START>,<ATTRS> ▁ จัดๆๆ มะ <CONT_START> วานไปมาแล้ว <START> จัดๆๆมะวานไปจัดมาแล้ว
<ATTRS> ▁ชอบ <CONT_START> มากเลยน.เบียร์สิงห์ <START>,<ATTRS> ▁ชอบ <CONT_START> มากเลยน.เบียร์สิงห์ <START> ชอบมากเลยน.เบียร์สิงห์
<ATTRS>  <CONT_START> ช้างเบียร์ฉันรักเธอจัง <START>,<ATTRS>  <CONT_START> ช้างเบียร์ฉันรักเธอจัง <START> ช้างเบียร์ฉันรักเธอจัง
<ATTRS> อร่อยชอบ ๆๆ <CONT_START> ซุปนี้พ.ศ. <START>,<ATTRS> อร่อยชอบ ๆๆ <CONT_START> ซุปนี้พ.ศ. <START> ซุปนี้อร่อยพ.ศ.ชอบๆๆ
<ATTRS> า บี ก้อน กันก่อน <CONT_START> ตามลาบนน <START>,<ATTRS> า บี ก้อน กันก่อน <CONT_START> ตามลาบนน <START> ตามลาบาบีก้อนกันก่อนนน
<ATTRS> สวยมาก <CONT_START> เทรลเบลเซอร์ครับ <START>,<ATTRS> สวยมาก <CONT_START> เทรลเบลเซอร์ครับ <START> เทรลเบลเซอร์สวยมากครับ
<ATTRS> น่ารักมากๆ <CONT_START> ๆจะเอาแค่นี้ <START>,<ATTRS> น่ารักมากๆ <CONT_START> ๆจะเอาแค่นี้ <START> น่ารักมากๆๆจะเอาแค่นี้
<ATTRS> ▁น่า ลองไปลอง <CONT_START> งงกันนะแฟน <START>,<ATTRS> ▁น่า ลองไปลอง <CONT_START> งงกันนะแฟน <START> น่าลองงงไปลองกันนะแฟน
<ATTRS>  <CONT_START> บาบิก้อนหรือไรก็ได้จ้า <START>,<ATTRS>  <CONT_START> บาบิก้อนหรือไรก็ได้จ้า <START> บาบิก้อนหรือไรก็ได้จ้า
<ATTRS> ▁ ประทับใจ <CONT_START> ตั้งแต่เช็คอิน <START>,<ATTRS> ▁ ประทับใจ <CONT_START> ตั้งแต่เช็คอิน <START> ประทับใจตั้งแต่เช็คอิน
<ATTRS> ▁ ไป <CONT_START> ๆๆยังมีเวลาอีกหลายวัน <START>,<ATTRS> ▁ ไป <CONT_START> ๆๆยังมีเวลาอีกหลายวัน <START> ไปๆๆยังมีเวลาอีกหลายวัน
<ATTRS> ไปกัน <CONT_START> 😂หัวเท่าไรว่ะ <START>,<ATTRS> ไปกัน <CONT_START> 😂หัวเท่าไรว่ะ <START> ไปกัน😂หัวเท่าไรว่ะ
<ATTRS> ▁ ไป <CONT_START> กีดกันนนนั่งรถเซน <START>,<ATTRS> ▁ ไป <CONT_START> กีดกันนนนั่งรถเซน <START> ไปกีดกันนนนั่งรถไปเซน
<ATTRS> ไปกิน แทบทุก <CONT_START> อาทิตเลยค่ะ <START>,<ATTRS> ไปกิน แทบทุก <CONT_START> อาทิตเลยค่ะ <START> ไปกินแทบทุกอาทิตเลยค่ะ
<ATTRS> ▁ ไปกิน😘 <CONT_START> มาเมื่อกี้คะ <START>,<ATTRS> ▁ ไปกิน😘 <CONT_START> มาเมื่อกี้คะ <START> ไปกินมาเมื่อกี้คะ😘
<ATTRS> อร่อยมาก <CONT_START> ไปทานมาแรวงจ้า <START>,<ATTRS> อร่อยมาก <CONT_START> ไปทานมาแรวงจ้า <START> ไปทานมาแรวงจ้าอร่อยมาก
<ATTRS> ดีที่สุด <CONT_START> แม่โขงแสงสี <START>,<ATTRS> ดีที่สุด <CONT_START> แม่โขงแสงสี <START> แม่โขงแสงสีดีที่สุด
<ATTRS> ▁ ลองไปจัด <CONT_START> ดูมั้งจะดีมั้ย <START>,<ATTRS> ▁ ลองไปจัด <CONT_START> ดูมั้งจะดีมั้ย <START> ลองไปจัดดูมั้งจะดีมั้ย
<ATTRS> ป่ะ <CONT_START> วันนี้ล่ะหิว5 <START>,<ATTRS> ป่ะ <CONT_START> วันนี้ล่ะหิว5 <START> วันนี้ป่ะล่ะหิว5
<ATTRS> โลตัส นว นคร ใกล้ <CONT_START> สาขาสุด <START>,<ATTRS> โลตัส นว นคร ใกล้ <CONT_START> สาขาสุด <START> สาขาโลตัสนวนครใกล้สุด
<ATTRS> สิ้นเดือน😁 <CONT_START> น่ะตัวเอง <START>,<ATTRS> สิ้นเดือน😁 <CONT_START> น่ะตัวเอง <START> สิ้นเดือนน่ะตัวเอง😁
<ATTRS> เหย ดีเข้ มี ชีส สสจัดไป <CONT_START> ไป <START>,<ATTRS> เหย ดีเข้ มี ชีส สสจัดไป <CONT_START> ไป <START> เหยดีเข้มีชีสสสจัดไปไป
<ATTRS> ▁อยากกิน <CONT_START> 🍜🍨🍤🍣🍚🍱🍲 <START>,<ATTRS> ▁อยากกิน <CONT_START> 🍜🍨🍤🍣🍚🍱🍲 <START> อยากกิน🍜🍨🍤🍣🍚🍱🍲
<ATTRS> ▁อยากกิน <CONT_START> ในgriddleค่ะ <START>,<ATTRS> ▁อยากกิน <CONT_START> ในgriddleค่ะ <START> อยากกินในgriddleค่ะ
<ATTRS> ▁อยากกินอยาก กก <CONT_START> เอ็มเค. <START>,<ATTRS> ▁อยากกินอยาก กก <CONT_START> เอ็มเค. <START> อยากกินเอ็มเค.อยากกก
<ATTRS> ▁อยากกินลีโอ ๆๆ ไป <CONT_START> เบียร์ <START>,<ATTRS> ▁อยากกินลีโอ ๆๆ ไป <CONT_START> เบียร์ <START> อยากกินเบียร์ลีโอๆๆไป
<ATTRS> ▁อยากกิน <CONT_START> สตอเบอรี่อัญชัน <START>,<ATTRS> ▁อยากกิน <CONT_START> สตอเบอรี่อัญชัน <START> อยากกินสตอเบอรี่อัญชัน
<ATTRS> ▁อยากกิน <CONT_START> แสงสีอ่ะ5 <START>,<ATTRS> ▁อยากกิน <CONT_START> แสงสีอ่ะ5 <START> อยากกินแสงสีอ่ะ5
<ATTRS> ▁อยากกิน๊ก ไป <CONT_START> อ่ะดิไม่ใน <START>,<ATTRS> ▁อยากกิน๊ก ไป <CONT_START> อ่ะดิไม่ใน <START> อยากกินอ่ะดิ๊กไปไม่ใน
<ATTRS> ▁อยากกิน😊 <CONT_START> ที่แล้วอะ <START>,<ATTRS> ▁อยากกิน😊 <CONT_START> ที่แล้วอะ <START> อยากกินที่แล้วอะ😊
<ATTRS> ▁อยากกินเอ็ม เค อีดอก หิว <CONT_START>  <START>,<ATTRS> ▁อยากกินเอ็ม เค อีดอก หิว <CONT_START>  <START> อยากกินเอ็มเคอีดอกหิว
<ATTRS> ▁อยาก <CONT_START> แดกบาบีกอในเลยยาสาสส <START>,<ATTRS> ▁อยาก <CONT_START> แดกบาบีกอในเลยยาสาสส <START> อยากแดกบาบีกอในเลยยาสาสส
<ATTRS> ▁อยาก <CONT_START> แดกบาบีก้อนโว้ยยืน <START>,<ATTRS> ▁อยาก <CONT_START> แดกบาบีก้อนโว้ยยืน <START> อยากแดกบาบีก้อนโว้ยยืน
<ATTRS> ▁อยาก😘 <CONT_START> อยู่นานแล้วนิ <START>,<ATTRS> ▁อยาก😘 <CONT_START> อยู่นานแล้วนิ <START> อยากอยู่นานแล้วนิ😘
<ATTRS> ▁อยาก <CONT_START> ไอติมสตอเบอรี่ด้วย <START>,<ATTRS> ▁อยาก <CONT_START> ไอติมสตอเบอรี่ด้วย <START> อยากไอติมสตอเบอรี่ด้วย
<ATTRS> อร่อยมากๆๆ ให้ 10 <CONT_START> ใน1. <START>,<ATTRS> อร่อยมากๆๆ ให้ 10 <CONT_START> ใน1. <START> อร่อยมากๆๆให้10ใน1.
