source,target
<ATTRS> ทําได้ ๆๆๆ ▁ เย้ <CONT_START> ทำได้ๆๆๆ เย้ๆ <START>,<ATTRS> ทําได้ ๆๆๆ ▁ เย้ <CONT_START> ทำได้ๆๆๆ เย้ๆ <START> ทำได้ๆๆๆ เย้ๆ
<ATTRS> ติด เเล้ว ววว <CONT_START> ววววววววว <START>,<ATTRS> ติด เเล้ว ววว <CONT_START> ววววววววว <START> ติดเเล้ววววววววววววว
<ATTRS> ยินดีดีใจ <CONT_START> และด้วยค่ะกับเพื่อนๆทุกคนเลย <START>,<ATTRS> ยินดีดีใจ <CONT_START> และด้วยค่ะกับเพื่อนๆทุกคนเลย <START> ยินดีและดีใจด้วยค่ะกับเพื่อนๆทุกคนเลย
<ATTRS> สู้ๆนะ <CONT_START> ครัชชชช ขอให้ติดคณะและมหาลัยที่อยากเข้าเด้อ <START>,<ATTRS> สู้ๆนะ <CONT_START> ครัชชชช ขอให้ติดคณะและมหาลัยที่อยากเข้าเด้อ <START> สู้ๆนะครัชชชช ขอให้ติดคณะและมหาลัยที่อยากเข้าเด้อ
<ATTRS> ▁ สู้ <CONT_START> ไม่มีอะไรได้มาง่ายๆ มหาวิทยาลัยก็เหมือนกัน  <START>,<ATTRS> ▁ สู้ <CONT_START> ไม่มีอะไรได้มาง่ายๆ มหาวิทยาลัยก็เหมือนกัน  <START> ไม่มีอะไรได้มาง่ายๆ มหาวิทยาลัยก็เหมือนกัน สู้สู้
<ATTRS> ดีใจมาก💕😍 <CONT_START> ได้เป็นลูกช้างแล้วโว้ยยยย ติดแล้ว   <START>,<ATTRS> ดีใจมาก💕😍 <CONT_START> ได้เป็นลูกช้างแล้วโว้ยยยย ติดแล้ว   <START> ได้เป็นลูกช้างแล้วโว้ยยยย ติดแล้ว ดีใจมาก 💕💕💕💕💕😍😍
<ATTRS> ก็ดีใจดีใจที่ดีใจ <CONT_START> เกินกว่าที่ติด ก็ที่พ่อเราโคตร รักพ่อนะ <START>,<ATTRS> ก็ดีใจดีใจที่ดีใจ <CONT_START> เกินกว่าที่ติด ก็ที่พ่อเราโคตร รักพ่อนะ <START> เกินกว่าดีใจที่ติด ก็ดีใจที่พ่อเราโคตรดีใจ รักพ่อนะ
<ATTRS> ไม่ผิดหวัง❤ <CONT_START> มข. รอบ3/2รับเราด้วยเถอะนะ เราอยากเรียนจริงๆ ถ้ารับเราคุณจะ เราจะไม่สละสิทธิ์แน่นอน <START>,<ATTRS> ไม่ผิดหวัง❤ <CONT_START> มข. รอบ3/2รับเราด้วยเถอะนะ เราอยากเรียนจริงๆ ถ้ารับเราคุณจะ เราจะไม่สละสิทธิ์แน่นอน <START> มข. รอบ3/2รับเราด้วยเถอะนะ เราอยากเรียนจริงๆ ถ้ารับเราคุณจะไม่ผิดหวัง เราจะไม่สละสิทธิ์แน่นอน❤❤
<ATTRS> ติด แล้ว วววขอบคุณมาก <CONT_START> ววววววนะคะ <START>,<ATTRS> ติด แล้ว วววขอบคุณมาก <CONT_START> ววววววนะคะ <START> ติดแล้ววววววววววขอบคุณมากนะคะ
<ATTRS> ติด แล้ว ววว▁ดีใจ <CONT_START> ววว ที่ตัวเองยังหน้าด้านยื่นต่อจนติด <START>,<ATTRS> ติด แล้ว ววว▁ดีใจ <CONT_START> ววว ที่ตัวเองยังหน้าด้านยื่นต่อจนติด <START> ติดแล้ววววววว ดีใจที่ตัวเองยังหน้าด้านยื่นต่อจนติด
<ATTRS> ▁ดีใจ <CONT_START> ติดมศว แล้วนะ ฮื่ออออ จจจจ <START>,<ATTRS> ▁ดีใจ <CONT_START> ติดมศว แล้วนะ ฮื่ออออ จจจจ <START> ติดมศว แล้วนะ ฮื่ออออ ดีใจจจจจ
<ATTRS> กําลังใจช่วยเหลือ ▁ น้ําตาไหล เลย▁ดีใจมากกกภูมิใจใน ตัวเอง❤สู้ มานะ▁ขอบคุณที่ขอบคุณทุก <CONT_START> กกกก อ่ะ ️  กำลังใจทุกความช่วยเหลือ น้ำตาไหลเลย <START>,<ATTRS> กําลังใจช่วยเหลือ ▁ น้ําตาไหล เลย▁ดีใจมากกกภูมิใจใน ตัวเอง❤สู้ มานะ▁ขอบคุณที่ขอบคุณทุก <CONT_START> กกกก อ่ะ ️  กำลังใจทุกความช่วยเหลือ น้ำตาไหลเลย <START> ดีใจมากกกกกกก ภูมิใจในตัวเองอ่ะ ❤️ ขอบคุณที่สู้มานะ ขอบคุณทุกกำลังใจทุกความช่วยเหลือ น้ำตาไหลเลย
<ATTRS> สู้กัน มา ▁รอ เรา▁ดีใจ▁รัก ทุกคนที่ชอบ <CONT_START> ด้วยกับคนที่ติดแล้ว มากๆ พยายามกันมามาก ผ่านอะไรกันมาเข้าใจความรู้สึกทุกคน รู้สึกถึงความเป็นเพื่อนที่ต้อสู้กันมา รอเราหน่อยนะ รอบ4มันจะเป็นของเรา ขอให้ #dek61 ติดคณะ มหาลัยที่หวังไว้นะ #TCASรอบ4 🙏🏻 .เราจะไม่โดนเทรอบ4 <START>,<ATTRS> สู้กัน มา ▁รอ เรา▁ดีใจ▁รัก ทุกคนที่ชอบ <CONT_START> ด้วยกับคนที่ติดแล้ว มากๆ พยายามกันมามาก ผ่านอะไรกันมาเข้าใจความรู้สึกทุกคน รู้สึกถึงความเป็นเพื่อนที่ต้อสู้กันมา รอเราหน่อยนะ รอบ4มันจะเป็นของเรา ขอให้ #dek61 ติดคณะ มหาลัยที่หวังไว้นะ #TCASรอบ4 🙏🏻 .เราจะไม่โดนเทรอบ4 <START> ดีใจด้วยกับคนที่ติดแล้ว รักทุกคนมากๆ พยายามกันมามาก ผ่านอะไรกันมาเข้าใจความรู้สึกทุกคน รู้สึกถึงความเป็นเพื่อนที่ต้อสู้กันมา รอเราหน่อยนะ รอบ4มันจะเป็นของเรา ขอให้ #dek61 ติดคณะที่ชอบ มหาลัยที่หวังไว้นะ #TCASรอบ4 🙏🏻 .เราจะไม่โดนเทรอบ4
<ATTRS> ▁ดีใจมากกก <CONT_START> จ ฮรืออ ได้ใช้แท็กนี้สักที 😭😭😭 <START>,<ATTRS> ▁ดีใจมากกก <CONT_START> จ ฮรืออ ได้ใช้แท็กนี้สักที 😭😭😭 <START> ดีใจจมากกก ฮรืออ ได้ใช้แท็กนี้สักที 😭😭😭
<ATTRS> ▁ดีใจ <CONT_START> กับน้องๆทุกคนที่ติดวิศวะ จุฬาฯ ด้วยค่ะ <START>,<ATTRS> ▁ดีใจ <CONT_START> กับน้องๆทุกคนที่ติดวิศวะ จุฬาฯ ด้วยค่ะ <START> ดีใจกับน้องๆทุกคนที่ติดวิศวะ จุฬาฯ ด้วยค่ะ
<ATTRS> ▁ดีใจ <CONT_START> กับคนที่ติดรอบ 3/2ด้วยนะคะ ใครที่รอแอด หรือติดแต่ไม่ถูกใจ อดใจรอกันอีกนิดนะคะ <START>,<ATTRS> ▁ดีใจ <CONT_START> กับคนที่ติดรอบ 3/2ด้วยนะคะ ใครที่รอแอด หรือติดแต่ไม่ถูกใจ อดใจรอกันอีกนิดนะคะ <START> ดีใจกับคนที่ติดรอบ 3/2ด้วยนะคะ ใครที่รอแอด หรือติดแต่ไม่ถูกใจ อดใจรอกันอีกนิดนะคะ
<ATTRS> กําลังใจท้อ บ้าง ▁แต่ สักวัน▁ดีใจสู้ๆนะ <CONT_START> จากเพจอ.ขลุ่ย ที่เห็นเพลงนี้ให้กำลังใจคนได้จริงๆ น้อง มันอาจจะเหนื่อยจนท้อบ้าง แต่สักวันมันจะเป็นวันของเรา พี่เป็นกำลังใจให้ /กอดๆ <START>,<ATTRS> กําลังใจท้อ บ้าง ▁แต่ สักวัน▁ดีใจสู้ๆนะ <CONT_START> จากเพจอ.ขลุ่ย ที่เห็นเพลงนี้ให้กำลังใจคนได้จริงๆ น้อง มันอาจจะเหนื่อยจนท้อบ้าง แต่สักวันมันจะเป็นวันของเรา พี่เป็นกำลังใจให้ /กอดๆ <START> จากเพจอ.ขลุ่ย ดีใจที่เห็นเพลงนี้ให้กำลังใจคนได้จริงๆ สู้ๆนะน้อง มันอาจจะเหนื่อยจนท้อบ้าง แต่สักวันมันจะเป็นวันของเรา พี่เป็นกำลังใจให้ /กอดๆ
<ATTRS> ดีใจแฮปปี้ยิ้ม แก้ม แตก กันทั้งไป เลยจ้า <CONT_START> คือหนักมาก แบบไม่ติดก็ไม่รู้จะต่อไหนแล้วอะ เครียดกันทั้งบ้าน พอสอบติดเท่านั้นแหล่ะ ครอบครัว <START>,<ATTRS> ดีใจแฮปปี้ยิ้ม แก้ม แตก กันทั้งไป เลยจ้า <CONT_START> คือหนักมาก แบบไม่ติดก็ไม่รู้จะต่อไหนแล้วอะ เครียดกันทั้งบ้าน พอสอบติดเท่านั้นแหล่ะ ครอบครัว <START> คือดีใจหนักมาก แบบไม่ติดก็ไม่รู้จะต่อไหนแล้วอะ เครียดกันทั้งบ้าน พอสอบติดเท่านั้นแหล่ะ แฮปปี้ยิ้มแก้มแตกกันทั้งครอบครัวไปเลยจ้า
<ATTRS> ▁ดีใจสนับสนุน คุณดีที่สุด <CONT_START> คนที่ได้เรียนคณะที่สมหวังแล้ว พ่อแม่เห็นด้วย พ่อแม่สนับสนุน ด้วยนะ ตั้งใจเรียนนะ คุณโชคดีมากแล้วที่พ่อแม่เค้าเข้าใจคุณ ที่พ่อแม่ มันแล้วล่ะ <START>,<ATTRS> ▁ดีใจสนับสนุน คุณดีที่สุด <CONT_START> คนที่ได้เรียนคณะที่สมหวังแล้ว พ่อแม่เห็นด้วย พ่อแม่สนับสนุน ด้วยนะ ตั้งใจเรียนนะ คุณโชคดีมากแล้วที่พ่อแม่เค้าเข้าใจคุณ ที่พ่อแม่ มันแล้วล่ะ <START> คนที่ได้เรียนคณะที่สมหวังแล้ว พ่อแม่เห็นด้วย พ่อแม่สนับสนุน ดีใจด้วยนะ ตั้งใจเรียนนะ คุณโชคดีมากแล้วที่พ่อแม่เค้าเข้าใจคุณ ที่พ่อแม่สนับสนุนคุณ มันดีที่สุดแล้วล่ะ
<ATTRS> ▁ขอบคุณ <CONT_START> มข.ที่ไม่เทเรา มีที่เรียนแล้วโว้ยยยยยยย <START>,<ATTRS> ▁ขอบคุณ <CONT_START> มข.ที่ไม่เทเรา มีที่เรียนแล้วโว้ยยยยยยย <START> ขอบคุณมข.ที่ไม่เทเรา มีที่เรียนแล้วโว้ยยยยยยย
<ATTRS> ▁ขอบคุณดีใจมาก❤ <CONT_START> ทุกฝ่ายจริงๆทั้งทปอ. ทั้งเด็ก61ผู้ปกครองเด็กทุกฝ่ายที่ยื่นเรื่องให้มีรอบ3.2 ถ้าไม่มีรอบนี้เราคงไม่ติดแง้  ️ <START>,<ATTRS> ▁ขอบคุณดีใจมาก❤ <CONT_START> ทุกฝ่ายจริงๆทั้งทปอ. ทั้งเด็ก61ผู้ปกครองเด็กทุกฝ่ายที่ยื่นเรื่องให้มีรอบ3.2 ถ้าไม่มีรอบนี้เราคงไม่ติดแง้  ️ <START> ขอบคุณทุกฝ่ายจริงๆทั้งทปอ. ทั้งเด็ก61ผู้ปกครองเด็กทุกฝ่ายที่ยื่นเรื่องให้มีรอบ3.2 ถ้าไม่มีรอบนี้เราคงไม่ติดแง้ ดีใจมาก ❤️
<ATTRS> มากๆ ▁เรา ติด▁ขอบคุณ❤เกิน ความ คาดหมาย <CONT_START>  มข มากๆนะคะ ที่รักเรามันมากๆ เราติด 4 อันที่ยื่นไปหมดเลย <START>,<ATTRS> มากๆ ▁เรา ติด▁ขอบคุณ❤เกิน ความ คาดหมาย <CONT_START>  มข มากๆนะคะ ที่รักเรามันมากๆ เราติด 4 อันที่ยื่นไปหมดเลย <START> ขอบคุณ มข มากๆนะคะ ที่รักเรา❤❤❤มันเกินความคาดหมายมากๆ เราติด 4 อันที่ยื่นไปหมดเลย
<ATTRS> ▁ขอบคุณ <CONT_START>  #TCAS61 ที่ทำให้คนๆนึงที่ไม่เคยรออะไรได้นานได้รู้ว่าการรอคอยที่แสนยาวนานมันทรมานมากขนาดไหน จริงๆ😻🙏🙏 <START>,<ATTRS> ▁ขอบคุณ <CONT_START>  #TCAS61 ที่ทำให้คนๆนึงที่ไม่เคยรออะไรได้นานได้รู้ว่าการรอคอยที่แสนยาวนานมันทรมานมากขนาดไหน จริงๆ😻🙏🙏 <START> ขอบคุณ #TCAS61 ที่ทำให้คนๆนึงที่ไม่เคยรออะไรได้นานได้รู้ว่าการรอคอยที่แสนยาวนานมันทรมานมากขนาดไหน ขอบคุณจริงๆ😻🙏🙏
<ATTRS> กรี้ด▁ดีใจ <CONT_START>  โว้ยยยย <START>,<ATTRS> กรี้ด▁ดีใจ <CONT_START>  โว้ยยยย <START> กรี้ด ดีใจโว้ยยยย
<ATTRS> ยอดเยี่ยมเหมาะสม ▁ <CONT_START> ค่ะ ราคา บอกต่อได้เลยค่ะ <START>,<ATTRS> ยอดเยี่ยมเหมาะสม ▁ <CONT_START> ค่ะ ราคา บอกต่อได้เลยค่ะ <START> ยอดเยี่ยมค่ะ ราคาเหมาะสม บอกต่อได้เลยค่ะ
<ATTRS> ▁สวย▁ชอบส่งของ ไวมาก <CONT_START> ค่ะ เหมือนในรูปเลย ค่ะ ก <START>,<ATTRS> ▁สวย▁ชอบส่งของ ไวมาก <CONT_START> ค่ะ เหมือนในรูปเลย ค่ะ ก <START> สวยค่ะ เหมือนในรูปเลย ชอบค่ะ ส่งของไวมากก
<ATTRS> ดีค่ะนุ่ม และ ขาว ขึ้น <CONT_START> ใช้หน้า <START>,<ATTRS> ดีค่ะนุ่ม และ ขาว ขึ้น <CONT_START> ใช้หน้า <START> ใช้ดีค่ะหน้านุ่มและขาวขึ้น
<ATTRS> ดี ▁ ของจริงจัดส่ง เร็วมากสะดวก <CONT_START>  ดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี <START>,<ATTRS> ดี ▁ ของจริงจัดส่ง เร็วมากสะดวก <CONT_START>  ดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี <START> จัดส่งเร็วมาก สะดวกดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี
<ATTRS> ▁ชอบไม่ผิดหวัง▁สวย <CONT_START> สินค้ามาก ที่รอ ยังบรรจุภัณฑ์คับ <START>,<ATTRS> ▁ชอบไม่ผิดหวัง▁สวย <CONT_START> สินค้ามาก ที่รอ ยังบรรจุภัณฑ์คับ <START> ชอบสินค้ามาก ไม่ผิดหวังที่รอ สวยยังบรรจุภัณฑ์คับ
<ATTRS> รวดเร็ว▁ พอใจ <CONT_START> สินค้าส่ง ในสินค้าครับ <START>,<ATTRS> รวดเร็ว▁ พอใจ <CONT_START> สินค้าส่ง ในสินค้าครับ <START> สินค้าส่งรวดเร็ว พอใจในสินค้าครับ
<ATTRS> คุณภาพดี▁เสียง ดี▁ชอบส่ง เร็ว <CONT_START> สินค้า แข็งแรง  เด็กๆ  และยังด้วยค่ะ <START>,<ATTRS> คุณภาพดี▁เสียง ดี▁ชอบส่ง เร็ว <CONT_START> สินค้า แข็งแรง  เด็กๆ  และยังด้วยค่ะ <START> สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ
<ATTRS> เหมาะสม ▁ใช้งานง่าย <CONT_START> ราคากับคุณภาพของสินค้ามีความ  <START>,<ATTRS> เหมาะสม ▁ใช้งานง่าย <CONT_START> ราคากับคุณภาพของสินค้ามีความ  <START> ราคากับคุณภาพของสินค้ามีความเหมาะสม ใช้งานง่าย
<ATTRS> ส่งของ ไวห่อ พัสดุ ดีเยี่ยม <CONT_START>   ของใช้งาน <START>,<ATTRS> ส่งของ ไวห่อ พัสดุ ดีเยี่ยม <CONT_START>   ของใช้งาน <START> ส่งของไว ห่อพัสดุดี  ของใช้งานเยี่ยม
<ATTRS> ▁สวยรวดเร็วดีค่ะ <CONT_START> ค่ะ การจัดส่งก็ <START>,<ATTRS> ▁สวยรวดเร็วดีค่ะ <CONT_START> ค่ะ การจัดส่งก็ <START> สวยค่ะ การจัดส่งก็รวดเร็วดีค่ะ
<ATTRS> คุ้มค่า <CONT_START> คุณภาพครับ <START>,<ATTRS> คุ้มค่า <CONT_START> คุณภาพครับ <START> คุณภาพคุ้มค่าครับ
<ATTRS> ส่ง เร็วคุ้ม▁ ราคาถูก <CONT_START> ดี ใช้ดีมาก  <START>,<ATTRS> ส่ง เร็วคุ้ม▁ ราคาถูก <CONT_START> ดี ใช้ดีมาก  <START> ส่งเร็วดี ใช้ดีคุ้มมาก ราคาถูก
<ATTRS> ได้รับ สินค้า เร็วมีคุณภาพสวมใส่สบายมากๆๆ ▁ <CONT_START> ค่ะ และสินค้าก็ ตัว เลยค่ะ <START>,<ATTRS> ได้รับ สินค้า เร็วมีคุณภาพสวมใส่สบายมากๆๆ ▁ <CONT_START> ค่ะ และสินค้าก็ ตัว เลยค่ะ <START> ได้รับสินค้าเร็วค่ะ และสินค้าก็มีคุณภาพ สวมใส่สบายตัวมากๆๆ เลยค่ะ
<ATTRS> ของ เร็วมากต้องการสวยมาก <CONT_START> ได้รับ.. แถมสินค้าได้ตาม <START>,<ATTRS> ของ เร็วมากต้องการสวยมาก <CONT_START> ได้รับ.. แถมสินค้าได้ตาม <START> ได้รับของเร็วมาก.. แถมสินค้าได้ตามต้องการสวยมาก
<ATTRS> รู้สึกว่า ดีนะ <CONT_START> รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้ว <START>,<ATTRS> รู้สึกว่า ดีนะ <CONT_START> รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้ว <START> รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้วรู้สึกว่าดีนะ
<ATTRS> ▁ใช้ ได้ดี <CONT_START> เหมาะกับราคานี้ ก็สรุปว่าดีครับ <START>,<ATTRS> ▁ใช้ ได้ดี <CONT_START> เหมาะกับราคานี้ ก็สรุปว่าดีครับ <START> ใช้ได้ดีเหมาะกับราคานี้ ก็สรุปว่าดีครับ
<ATTRS> ดีมากส่งของ ก็ เร็ว ของ <CONT_START> ใช้งานครับ <START>,<ATTRS> ดีมากส่งของ ก็ เร็ว ของ <CONT_START> ใช้งานครับ <START> ใช้งานดีมากส่งของก็เร็วของครับ
<ATTRS> ส่ง ไวมากดีมากใช้งานได้ ปกติ ไม่มีปัญหาคุ้มค่าสุดๆ <CONT_START>  สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมา อะไร ถือว่าครับ <START>,<ATTRS> ส่ง ไวมากดีมากใช้งานได้ ปกติ ไม่มีปัญหาคุ้มค่าสุดๆ <CONT_START>  สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมา อะไร ถือว่าครับ <START> ส่งไวมาก สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมาดีมาก ใช้งานได้ปกติไม่มีปัญหาอะไร ถือว่าคุ้มค่าสุดๆครับ
<ATTRS> ค่อนข้างดีคุ้ม <CONT_START> วัสดุนับว่าราคาครับ <START>,<ATTRS> ค่อนข้างดีคุ้ม <CONT_START> วัสดุนับว่าราคาครับ <START> วัสดุค่อนข้างดีนับว่าคุ้มราคาครับ
<ATTRS> ▁ ใส่สบาย <CONT_START> สั่งหลายรอบแล้วจร้าาา <START>,<ATTRS> ▁ ใส่สบาย <CONT_START> สั่งหลายรอบแล้วจร้าาา <START> ใส่สบายสั่งหลายรอบแล้วจร้าาา
<ATTRS> รวดเร็วคุณภาพ ใช้ได้ <CONT_START> ส่งของดี ค่ะ <START>,<ATTRS> รวดเร็วคุณภาพ ใช้ได้ <CONT_START> ส่งของดี ค่ะ <START> ส่งของรวดเร็วดี คุณภาพใช้ได้ค่ะ
<ATTRS> ดี ราคาไม่แพง <CONT_START> ใช้งานได้มาก <START>,<ATTRS> ดี ราคาไม่แพง <CONT_START> ใช้งานได้มาก <START> ใช้งานได้ดีราคาไม่แพงมาก
<ATTRS> ▁ชอบที่ส่ง เร็วมากดี จิงๆ <CONT_START> ครับ ทันใจ <START>,<ATTRS> ▁ชอบที่ส่ง เร็วมากดี จิงๆ <CONT_START> ครับ ทันใจ <START> ชอบที่ส่งเร็วมากครับ ทันใจดีจิงๆ
<ATTRS> ของ ไวดีมากคุ้ม <CONT_START> รับ พนักงานส่งของ คุณภาพราคา <START>,<ATTRS> ของ ไวดีมากคุ้ม <CONT_START> รับ พนักงานส่งของ คุณภาพราคา <START> รับของไว พนักงานส่งของดีมาก คุณภาพคุ้มราคา
<ATTRS> คุ้มค่าดีครับ ▁คุ้มใช้งานได้ ทนทาน <CONT_START>  ค่าราคา น่าจะมือใหม่น่าเอามาใช้ครับ <START>,<ATTRS> คุ้มค่าดีครับ ▁คุ้มใช้งานได้ ทนทาน <CONT_START>  ค่าราคา น่าจะมือใหม่น่าเอามาใช้ครับ <START> ดีครับ คุ้มค่าคุ้มราคา น่าจะใช้งานได้ทนทานมือใหม่น่าเอามาใช้ครับ
<ATTRS> ราคาถูก ▁แต่ส่งของ ไวมากวันไหน จะคุ้มไม่ผิดหวัง ค่ะ <CONT_START>  แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าราคาถูก แต่แน่นอนค่ะ เลือกซื้ออันนี้ <START>,<ATTRS> ราคาถูก ▁แต่ส่งของ ไวมากวันไหน จะคุ้มไม่ผิดหวัง ค่ะ <CONT_START>  แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าราคาถูก แต่แน่นอนค่ะ เลือกซื้ออันนี้ <START> ส่งของไวมาก แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าวันไหนจะราคาถูก แต่คุ้มแน่นอนค่ะ เลือกซื้ออันนี้ไม่ผิดหวังค่ะ
<ATTRS> ของ เร็วมากชอบมาก <CONT_START> ได้รับ กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ  <START>,<ATTRS> ของ เร็วมากชอบมาก <CONT_START> ได้รับ กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ  <START> ได้รับของเร็วมาก กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ ชอบมาก
<ATTRS> สินค้า ใช้ ดี <CONT_START> สีสดใช้จนถึงทุกวันนี้ <START>,<ATTRS> สินค้า ใช้ ดี <CONT_START> สีสดใช้จนถึงทุกวันนี้ <START> สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้
<ATTRS>  <CONT_START> ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี <START>,<ATTRS>  <CONT_START> ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี <START> ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี
