source,target
<ATTRS> ไร ▁อย่ามา ยุ่งกับ กูเป็น ห่าท้อ <CONT_START> ถ้าไม่ได้รอบแรกนี่แรงกดดันจากคนรอบข้างเยอะมากๆ ไม่รู้ไร อย่ามายุ่งกับกูเลยค่ะ ความรู้สึกเหมือนหนูทดลองที่กำลังโดนยาพิษแล้วกำลังจะตายในอีก3วัน7วัน อีห่ากูเหนื่อย กู <START>,<ATTRS> ไร ▁อย่ามา ยุ่งกับ กูเป็น ห่าท้อ <CONT_START> ถ้าไม่ได้รอบแรกนี่แรงกดดันจากคนรอบข้างเยอะมากๆ ไม่รู้ไร อย่ามายุ่งกับกูเลยค่ะ ความรู้สึกเหมือนหนูทดลองที่กำลังโดนยาพิษแล้วกำลังจะตายในอีก3วัน7วัน อีห่ากูเหนื่อย กู <START> ถ้าไม่ได้รอบแรกนี่แรงกดดันจากคนรอบข้างเยอะมากๆ ไม่รู้เป็นห่าไร อย่ามายุ่งกับกูเลยค่ะ ความรู้สึกเหมือนหนูทดลองที่กำลังโดนยาพิษแล้วกำลังจะตายในอีก3วัน7วัน อีห่ากูเหนื่อย กูท้อ
<ATTRS> พอผิดหวังมาก <CONT_START> ไม่อยากจะเครียดนะแต่แบบมันนึกถึงก็กลัวอ่ะ กลัวความๆ ยิ่งใกล้วันยิ่งกดดัน ขอให้ติดเถอะขอร้อง 😭 <START>,<ATTRS> พอผิดหวังมาก <CONT_START> ไม่อยากจะเครียดนะแต่แบบมันนึกถึงก็กลัวอ่ะ กลัวความๆ ยิ่งใกล้วันยิ่งกดดัน ขอให้ติดเถอะขอร้อง 😭 <START> ไม่อยากจะเครียดนะแต่แบบพอมันนึกถึงก็กลัวอ่ะ กลัวความผิดหวังมากๆ ยิ่งใกล้วันยิ่งกดดัน ขอให้ติดเถอะขอร้อง 😭
<ATTRS> เสีย <CONT_START> ไม่ติดจริงๆเหรอวะ... ใจไปแล้ว แต่ถามว่ายังรอประกาศไหมนี่ก็ยังรออ่ะ <START>,<ATTRS> เสีย <CONT_START> ไม่ติดจริงๆเหรอวะ... ใจไปแล้ว แต่ถามว่ายังรอประกาศไหมนี่ก็ยังรออ่ะ <START> ไม่ติดจริงๆเหรอวะ... ใจเสียไปแล้ว แต่ถามว่ายังรอประกาศไหมนี่ก็ยังรออ่ะ
<ATTRS>  <CONT_START> ใครจ่ายเงินแล้วกลับมาลังเลแบบเราอ่ะ ฮือออ เครียด กลัวหลุด จะเป็นบ้าแล้วทุกวันนี้ ฮือออออ 😭😭😭 <START>,<ATTRS>  <CONT_START> ใครจ่ายเงินแล้วกลับมาลังเลแบบเราอ่ะ ฮือออ เครียด กลัวหลุด จะเป็นบ้าแล้วทุกวันนี้ ฮือออออ 😭😭😭 <START> ใครจ่ายเงินแล้วกลับมาลังเลแบบเราอ่ะ ฮือออ เครียด กลัวหลุด จะเป็นบ้าแล้วทุกวันนี้ ฮือออออ 😭😭😭
<ATTRS> โมโหอีเหี้ยไม่เลือก▁พ่อ ง มึงชิบหาย▁อย่าพูด ลม ปากหากิน กับเด็ก <CONT_START> นายกอ่ะ ยยยย หหห งาน..ไม่ยากจน ดิ เศรษฐกิจวายวอดแบบนี้ จะให้ทำงานอะไรก็ได้งั้นหรอ ๆๆๆ ดีแต่เหอะ ถ้าระบบTCASดีนัก รุ่นเราไม่เป็นแบบนี้หรอก มองโลกความเป็นจริงด้วย ฝากบอกทปอ.ด้วยไม่ใช่เก่งจ้า รอบล่ะคนละ100 เหอะๆ <START>,<ATTRS> โมโหอีเหี้ยไม่เลือก▁พ่อ ง มึงชิบหาย▁อย่าพูด ลม ปากหากิน กับเด็ก <CONT_START> นายกอ่ะ ยยยย หหห งาน..ไม่ยากจน ดิ เศรษฐกิจวายวอดแบบนี้ จะให้ทำงานอะไรก็ได้งั้นหรอ ๆๆๆ ดีแต่เหอะ ถ้าระบบTCASดีนัก รุ่นเราไม่เป็นแบบนี้หรอก มองโลกความเป็นจริงด้วย ฝากบอกทปอ.ด้วยไม่ใช่เก่งจ้า รอบล่ะคนละ100 เหอะๆ <START> โมโหนายกอ่ะ อีเหี้ยยยยย โมโหหหห ไม่เลือกงาน..ไม่ยากจน พ่องมึงดิ เศรษฐกิจชิบหายวายวอดแบบนี้ จะให้ทำงานอะไรก็ได้งั้นหรอ โมโหๆๆๆ อย่าดีแต่พูดลมปากเหอะ ถ้าระบบTCASดีนัก รุ่นเราไม่เป็นแบบนี้หรอก มองโลกความเป็นจริงด้วย ฝากบอกทปอ.ด้วยไม่ใช่หากินกับเด็กเก่งจ้า รอบล่ะคนละ100 เหอะๆ
<ATTRS> สะเ พมั่วเกิน <CONT_START> โทษตัวเองล้วนๆ คือความร่าของตัวเองโดนแท้จริง ดูวันและเวลาผิด แต่ดีใจเหตุแล้วเป็นไงละอีหอย โดนสละสิทธิ์ไง คือเจ็บจนพูดไม่ออก สู้ใหม่รอบ5เลยจร้า <START>,<ATTRS> สะเ พมั่วเกิน <CONT_START> โทษตัวเองล้วนๆ คือความร่าของตัวเองโดนแท้จริง ดูวันและเวลาผิด แต่ดีใจเหตุแล้วเป็นไงละอีหอย โดนสละสิทธิ์ไง คือเจ็บจนพูดไม่ออก สู้ใหม่รอบ5เลยจร้า <START> โทษตัวเองล้วนๆ คือความสะเพร่าของตัวเองโดนแท้จริง ดูวันและเวลาผิด มั่วแต่ดีใจเกินเหตุแล้วเป็นไงละอีหอย โดนสละสิทธิ์ไง คือเจ็บจนพูดไม่ออก สู้ใหม่รอบ5เลยจร้า
<ATTRS> เครียด ชิป หาย <CONT_START> โคตรสงสารตัวเองกับคนในรุ่น ที่เกิดมาเป็น เด็ก 61 ยังไม่ได้เรียนเลย พ่อแม่ก็หวังด้วย สงสารพ่อแม่ <START>,<ATTRS> เครียด ชิป หาย <CONT_START> โคตรสงสารตัวเองกับคนในรุ่น ที่เกิดมาเป็น เด็ก 61 ยังไม่ได้เรียนเลย พ่อแม่ก็หวังด้วย สงสารพ่อแม่ <START> โคตรสงสารตัวเองกับคนในรุ่น ที่เกิดมาเป็น เด็ก 61 ยังไม่ได้เรียนเลยเครียดชิปหาย พ่อแม่ก็หวังด้วย สงสารพ่อแม่
<ATTRS> ▁ไม่อยากท้อ▁รอ โคตร นาน▁พอชิบหายไม่อยาก <CONT_START> โคตร  ไม่ติดก็รออีก มีแต่รอ รอจนไปหมดละ แล้วเรื่องที่คุยที่สุดยิ่งกว่าเรื่องน้ำหนักก็เรื่องที่เรียนเนี่ยแหละโว้ยยย ไม่ต้องพูดถึงได้มั้ยทั้งเพื่อนพ่อแม่พี่น้อง คุย!!  ร้องไห้ <START>,<ATTRS> ▁ไม่อยากท้อ▁รอ โคตร นาน▁พอชิบหายไม่อยาก <CONT_START> โคตร  ไม่ติดก็รออีก มีแต่รอ รอจนไปหมดละ แล้วเรื่องที่คุยที่สุดยิ่งกว่าเรื่องน้ำหนักก็เรื่องที่เรียนเนี่ยแหละโว้ยยย ไม่ต้องพูดถึงได้มั้ยทั้งเพื่อนพ่อแม่พี่น้อง คุย!!  ร้องไห้ <START> โคตรท้อ รอโคตรนาน พอไม่ติดก็รออีก มีแต่รอ รอจนท้อชิบหายไปหมดละ แล้วเรื่องที่ไม่อยากคุยที่สุดยิ่งกว่าเรื่องน้ำหนักก็เรื่องที่เรียนเนี่ยแหละโว้ยยย ไม่ต้องพูดถึงได้มั้ยทั้งเพื่อนพ่อแม่พี่น้อง ไม่อยากคุย!! ท้อ ร้องไห้
<ATTRS> กันแล้ว จิตใจ หดหู่เวรไม่สามารถ <CONT_START> เห็นน้องไปโรงเรียนมากอี หันไปคุยกับใครได้เลย <START>,<ATTRS> กันแล้ว จิตใจ หดหู่เวรไม่สามารถ <CONT_START> เห็นน้องไปโรงเรียนมากอี หันไปคุยกับใครได้เลย <START> เห็นน้องไปโรงเรียนกันแล้วจิตใจหดหู่มากอีเวร ไม่สามารถหันไปคุยกับใครได้เลย
<ATTRS> ระบบ ที แคส ▁กูเหนื่อย ว่ะเอกชน ก็ ต้องมานั่ง อธิบายอิเวงโง่คะแนน ไม่ถึงเบื่อโน <CONT_START> เลือกเรียนชาวบ้านที่คอยห่วงใยอีกว่าทำไมถึงเรียน ตังก็ตังแม่กูปะวะ เป็นห่วงกูจริงจรีงงงงงงงงง เออกู กู กูขี้เกียจรอแล้ว กูระบบทีแคส กูมึงด้วย ยูววว <START>,<ATTRS> ระบบ ที แคส ▁กูเหนื่อย ว่ะเอกชน ก็ ต้องมานั่ง อธิบายอิเวงโง่คะแนน ไม่ถึงเบื่อโน <CONT_START> เลือกเรียนชาวบ้านที่คอยห่วงใยอีกว่าทำไมถึงเรียน ตังก็ตังแม่กูปะวะ เป็นห่วงกูจริงจรีงงงงงงงงง เออกู กู กูขี้เกียจรอแล้ว กูระบบทีแคส กูมึงด้วย ยูววว <START> เหนื่อยว่ะเลือกเรียนเอกชนก็ต้องมานั่งอธิบายชาวบ้านที่คอยห่วงใยอีกว่าทำไมถึงเรียน อิเวงตังก็ตังแม่กูปะวะ เป็นห่วงกูจริงจรีงงงงงงงงง เออกูโง่ กูคะแนนไม่ถึง กูขี้เกียจรอแล้ว กูเบื่อระบบทีแคส กูเบื่อมึงด้วย ยูโนววว
<ATTRS> โง่ <CONT_START> เหนื่อยจะรอแล้วนะจิงๆ เหมือนเอาเวลามานั่งมองเล่นๆเลย กูไม่พอ กูต้องมาเดาอีกหรอว่าจะเลื่อนวันไปเมื่อไหร่อีก <START>,<ATTRS> โง่ <CONT_START> เหนื่อยจะรอแล้วนะจิงๆ เหมือนเอาเวลามานั่งมองเล่นๆเลย กูไม่พอ กูต้องมาเดาอีกหรอว่าจะเลื่อนวันไปเมื่อไหร่อีก <START> เหนื่อยจะรอแล้วนะจิงๆ เหมือนเอาเวลามานั่งมองเล่นๆเลย กูโง่ไม่พอ กูต้องมาเดาอีกหรอว่าจะเลื่อนวันไปเมื่อไหร่อีก
<ATTRS> เสียเวลาห่วย <CONT_START> ชีวิตมากเลยค่ะ หน่วยงานจะทราบบ้างมั้ยคะว่าระบบมันมาก <START>,<ATTRS> เสียเวลาห่วย <CONT_START> ชีวิตมากเลยค่ะ หน่วยงานจะทราบบ้างมั้ยคะว่าระบบมันมาก <START> เสียเวลาชีวิตมากเลยค่ะ หน่วยงานจะทราบบ้างมั้ยคะว่าระบบมันห่วยมาก
<ATTRS> เสียเวลา <CONT_START> กูมาสองวันเต็มๆแต่เพื่ออนาคตกูอ่ะ กูต้องยอมมมมม😭😭😭😭 <START>,<ATTRS> เสียเวลา <CONT_START> กูมาสองวันเต็มๆแต่เพื่ออนาคตกูอ่ะ กูต้องยอมมมมม😭😭😭😭 <START> เสียเวลากูมาสองวันเต็มๆแต่เพื่ออนาคตกูอ่ะ กูต้องยอมมมมม😭😭😭😭
<ATTRS> เสียเงินแย่▁นี่ เหรอ การศึกษา ของชาติ <CONT_START> ก็เยอะระบบสมัครก็  <START>,<ATTRS> เสียเงินแย่▁นี่ เหรอ การศึกษา ของชาติ <CONT_START> ก็เยอะระบบสมัครก็  <START> เสียเงินก็เยอะระบบสมัครก็แย่ นี่เหรอการศึกษาของชาติ
<ATTRS> เลื่อน กําหนดการ ทุกอย่างล่มห่วยซวย <CONT_START> เลื่อนประกาศผลไปขนาดนี้รอบ4ประกาศ(19กค.) ซึ่งคาดว่าถึงตอนนั้นน่าจะอีก ละเปิดเทอมสิงหา จะให้เด็กเอาเวลาไหนเตรียมตัวเข้าม. ไหนจะเรื่องหาหอ จองหอ ขึ้นทะเบียนนักศึกษา ระบบแต่ความอยู่ที่นักเรียน เลื่อนกำหนดการทุกอย่างแล้วเลื่อนเปิดเทอมด้วยเลยดิ... <START>,<ATTRS> เลื่อน กําหนดการ ทุกอย่างล่มห่วยซวย <CONT_START> เลื่อนประกาศผลไปขนาดนี้รอบ4ประกาศ(19กค.) ซึ่งคาดว่าถึงตอนนั้นน่าจะอีก ละเปิดเทอมสิงหา จะให้เด็กเอาเวลาไหนเตรียมตัวเข้าม. ไหนจะเรื่องหาหอ จองหอ ขึ้นทะเบียนนักศึกษา ระบบแต่ความอยู่ที่นักเรียน เลื่อนกำหนดการทุกอย่างแล้วเลื่อนเปิดเทอมด้วยเลยดิ... <START> เลื่อนประกาศผลไปขนาดนี้รอบ4ประกาศ(19กค.) ซึ่งคาดว่าถึงตอนนั้นน่าจะล่มอีก ละเปิดเทอมสิงหา จะให้เด็กเอาเวลาไหนเตรียมตัวเข้าม. ไหนจะเรื่องหาหอ จองหอ ขึ้นทะเบียนนักศึกษา ระบบห่วยแต่ความซวยอยู่ที่นักเรียน เลื่อนกำหนดการทุกอย่างแล้วเลื่อนเปิดเทอมด้วยเลยดิ...
<ATTRS> โง่เหี้ยอะไรสัดก ร่าง <CONT_START> เรียนเอกชนหรอทำไมจัง? บ้านกูมีตังไอ How to ตอบกลับเด็กที่คิดว่าแน่ <START>,<ATTRS> โง่เหี้ยอะไรสัดก ร่าง <CONT_START> เรียนเอกชนหรอทำไมจัง? บ้านกูมีตังไอ How to ตอบกลับเด็กที่คิดว่าแน่ <START> เรียนเอกชนหรอทำไมโง่จัง? โง่เหี้ยอะไรบ้านกูมีตังไอสัด How to ตอบกลับเด็กกร่างที่คิดว่าแน่
<ATTRS> รุ่นนี้ จน กู เครียดคือแบบอิเวน <CONT_START> เป็นเด็กเปิดฟังเพลงดนตรีไทยจนร้องไห้อ่ะอินเข้าไปในเพลงได้แล้วเข้าใจทุกอย่างแล้ว เหมือนจะไบโพลาร์แล้วอ่ะน <START>,<ATTRS> รุ่นนี้ จน กู เครียดคือแบบอิเวน <CONT_START> เป็นเด็กเปิดฟังเพลงดนตรีไทยจนร้องไห้อ่ะอินเข้าไปในเพลงได้แล้วเข้าใจทุกอย่างแล้ว เหมือนจะไบโพลาร์แล้วอ่ะน <START> เป็นเด็กรุ่นนี้จนกูเครียดเปิดฟังเพลงดนตรีไทยจนร้องไห้อ่ะคือแบบอินเข้าไปในเพลงได้แล้วเข้าใจทุกอย่างแล้ว เหมือนจะไบโพลาร์แล้วอ่ะอิเวนน
<ATTRS>  <CONT_START> เชื่อแอพไหนได้บ้างคะ admission premiumก็อวยคะแนนกูซะจนเหมือนจะติด dek-d ก็กดคะแนนกูเหมือนยิ่งจมดินไปอี๊กกก😂 <START>,<ATTRS>  <CONT_START> เชื่อแอพไหนได้บ้างคะ admission premiumก็อวยคะแนนกูซะจนเหมือนจะติด dek-d ก็กดคะแนนกูเหมือนยิ่งจมดินไปอี๊กกก😂 <START> เชื่อแอพไหนได้บ้างคะ admission premiumก็อวยคะแนนกูซะจนเหมือนจะติด dek-d ก็กดคะแนนกูเหมือนยิ่งจมดินไปอี๊กกก😂
<ATTRS> เครียดมาก <CONT_START> คือแม่เอาใบสมัครไปจ่ายผิดใบ 😩😭 <START>,<ATTRS> เครียดมาก <CONT_START> คือแม่เอาใบสมัครไปจ่ายผิดใบ 😩😭 <START> เครียดมากคือแม่เอาใบสมัครไปจ่ายผิดใบ 😩😭
<ATTRS> จะอ้วกมัน บั่นทอนแม่ง <CONT_START> อยู่ๆก็เครียดจน การรอที่ยาวนานสุขภาพจิตลามไปถึงสุขภาพกายจริงๆนะ อยากให้มันผ่านไปไวๆ เวลาคนมาถามเรียนที่ไหนนี่ยิ่งเป็นตัวกระตุ้นเลย ได้ยินแล้วอยากเอากำหนดการฟาดหน้า  ไม่รู้อะไรก็อยู่เงียบๆไปดิ้ //หัวล้อนนน😭 <START>,<ATTRS> จะอ้วกมัน บั่นทอนแม่ง <CONT_START> อยู่ๆก็เครียดจน การรอที่ยาวนานสุขภาพจิตลามไปถึงสุขภาพกายจริงๆนะ อยากให้มันผ่านไปไวๆ เวลาคนมาถามเรียนที่ไหนนี่ยิ่งเป็นตัวกระตุ้นเลย ได้ยินแล้วอยากเอากำหนดการฟาดหน้า  ไม่รู้อะไรก็อยู่เงียบๆไปดิ้ //หัวล้อนนน😭 <START> อยู่ๆก็เครียดจนจะอ้วก การรอที่ยาวนานมันบั่นทอนสุขภาพจิตลามไปถึงสุขภาพกายจริงๆนะ อยากให้มันผ่านไปไวๆ เวลาคนมาถามเรียนที่ไหนนี่ยิ่งเป็นตัวกระตุ้นเลย ได้ยินแล้วอยากเอากำหนดการฟาดหน้า แม่ง ไม่รู้อะไรก็อยู่เงียบๆไปดิ้ //หัวล้อนนน😭
<ATTRS> เสียใจเสียเวลาเสียเงินเสียค่าทีหลัง อย่าเอา <CONT_START> อยากขอโทษพ่อแม่มากๆ ขอโทษที่ทำให้ ขอโทษที่ทำให้ดีใจเก้อ ขอโทษที่ทำให้ น้ำมันไปส่งสัมภาษณ์ อยากบอกผู้ใหญ่ทั้งหลายด้วย ว่าความรู้สึก เอาอนาคตของเด็กมาล้อเล่นแบบนี้ <START>,<ATTRS> เสียใจเสียเวลาเสียเงินเสียค่าทีหลัง อย่าเอา <CONT_START> อยากขอโทษพ่อแม่มากๆ ขอโทษที่ทำให้ ขอโทษที่ทำให้ดีใจเก้อ ขอโทษที่ทำให้ น้ำมันไปส่งสัมภาษณ์ อยากบอกผู้ใหญ่ทั้งหลายด้วย ว่าความรู้สึก เอาอนาคตของเด็กมาล้อเล่นแบบนี้ <START> อยากขอโทษพ่อแม่มากๆ ขอโทษที่ทำให้เสียใจ ขอโทษที่ทำให้ดีใจเก้อ ขอโทษที่ทำให้เสียเวลา เสียเงินเสียค่าน้ำมันไปส่งสัมภาษณ์ อยากบอกผู้ใหญ่ทั้งหลายด้วย ว่าทีหลังอย่าเอาความรู้สึก เอาอนาคตของเด็กมาล้อเล่นแบบนี้
<ATTRS> ▁หา แดก ▁ กับ <CONT_START> หาแดก กับผู้ใหญ่ไม่ได้มาหากับอนาคตของชาติและหรอ <START>,<ATTRS> ▁หา แดก ▁ กับ <CONT_START> หาแดก กับผู้ใหญ่ไม่ได้มาหากับอนาคตของชาติและหรอ <START> หาแดก กับผู้ใหญ่ไม่ได้มาหากับอนาคตของชาติและหรอ
<ATTRS> เสียเวลากับความ ไม่ พร้อม <CONT_START> หลายคนต้องมาของคนกลุ่มเดียว <START>,<ATTRS> เสียเวลากับความ ไม่ พร้อม <CONT_START> หลายคนต้องมาของคนกลุ่มเดียว <START> หลายคนต้องมาเสียเวลากับความไม่พร้อมของคนกลุ่มเดียว
<ATTRS> แย่ๆไม่ แดกหมดเหนื่อย ที่ต้องแย่ <CONT_START> หมามากเถอะ เลือกคณะก่อนรู้คะแนน สอบได้ครั้งเดียวไม่มีโอกาสแก้ตัว ระยะเวลาแต่ละรอบก็นานเกิ้นน จนตอนนี้เด็กเขาจะเปิดเทอมล่ะ จนตอนนี้ยังไม่มีที่เรียน บางครั้งก็ยังลังเลกับตัวเอง งง สับสนไปล่ะ ว่าตัวเองชอบอะไรกันแน่ เพราะมันต้องสมัครใหม่แต่ละรอบ แล้วแต่ละวันไม่กล้าออกบ้านล่ะ ต้องมาเจอกับคำถามที่ว่า มีที่เรียนยัง สอบติดยัง จะติดตอนไหน บลาๆ มาตอบซ้ำๆเรื่องเดิมๆ จนสภาพจิตใจไป ก็เริ่มสับสนระหว่างจะเรียนต่อกับทำงานเลยดีไหม ? มีแต่เรื่องๆ เฮ้อออ ต้องใช้อีกกี่น้ำตาให้เธอเห็นใจ 😭 <START>,<ATTRS> แย่ๆไม่ แดกหมดเหนื่อย ที่ต้องแย่ <CONT_START> หมามากเถอะ เลือกคณะก่อนรู้คะแนน สอบได้ครั้งเดียวไม่มีโอกาสแก้ตัว ระยะเวลาแต่ละรอบก็นานเกิ้นน จนตอนนี้เด็กเขาจะเปิดเทอมล่ะ จนตอนนี้ยังไม่มีที่เรียน บางครั้งก็ยังลังเลกับตัวเอง งง สับสนไปล่ะ ว่าตัวเองชอบอะไรกันแน่ เพราะมันต้องสมัครใหม่แต่ละรอบ แล้วแต่ละวันไม่กล้าออกบ้านล่ะ ต้องมาเจอกับคำถามที่ว่า มีที่เรียนยัง สอบติดยัง จะติดตอนไหน บลาๆ มาตอบซ้ำๆเรื่องเดิมๆ จนสภาพจิตใจไป ก็เริ่มสับสนระหว่างจะเรียนต่อกับทำงานเลยดีไหม ? มีแต่เรื่องๆ เฮ้อออ ต้องใช้อีกกี่น้ำตาให้เธอเห็นใจ 😭 <START> หมาไม่แดกมากเถอะ เลือกคณะก่อนรู้คะแนน สอบได้ครั้งเดียวไม่มีโอกาสแก้ตัว ระยะเวลาแต่ละรอบก็นานเกิ้นน จนตอนนี้เด็กเขาจะเปิดเทอมหมดล่ะ จนตอนนี้ยังไม่มีที่เรียน บางครั้งก็ยังลังเลกับตัวเอง งง สับสนไปหมดล่ะ ว่าตัวเองชอบอะไรกันแน่ เพราะมันต้องสมัครใหม่แต่ละรอบ แล้วแต่ละวันไม่กล้าออกบ้านล่ะ ต้องมาเจอกับคำถามที่ว่า มีที่เรียนยัง สอบติดยัง จะติดตอนไหน บลาๆ เหนื่อยที่ต้องมาตอบซ้ำๆเรื่องเดิมๆ จนสภาพจิตใจแย่ไปหมด ก็เริ่มสับสนระหว่างจะเรียนต่อกับทำงานเลยดีไหม ? มีแต่เรื่องแย่ๆ เฮ้อออ ต้องใช้อีกกี่น้ำตาให้เธอเห็นใจ 😭
<ATTRS>  <CONT_START> สมัครครั้งไหนบ้างที่เว็บจะไม่มีปัญหา 😡😡 <START>,<ATTRS>  <CONT_START> สมัครครั้งไหนบ้างที่เว็บจะไม่มีปัญหา 😡😡 <START> สมัครครั้งไหนบ้างที่เว็บจะไม่มีปัญหา 😡😡
<ATTRS> ▁ เหนื่อยมาก <CONT_START> สถานการ์ณแบบนี้ ใช้คำว่าระบบการศึกษาต่อได้อีกหรอ ล้มเลิกไปเถอะ  ฮือ <START>,<ATTRS> ▁ เหนื่อยมาก <CONT_START> สถานการ์ณแบบนี้ ใช้คำว่าระบบการศึกษาต่อได้อีกหรอ ล้มเลิกไปเถอะ  ฮือ <START> สถานการ์ณแบบนี้ ใช้คำว่าระบบการศึกษาต่อได้อีกหรอ ล้มเลิกไปเถอะ เหนื่อยมาก ฮือ
